date,symbol,cashAndCashEquivalents,propertyPlantEquipmentNet,totalDebt,mktCap,industry,sector,image,ipoDate,isActivelyTrading,ebit,workingCapital,Security Name,Exchange,enterpriseValue,earningsYield,returnOnCapital,rocRank,yieldRank,rankSum,overallRank
2024-12-31,BLW,1865000.0,0.0,0.0,504048708.0,Asset Management - Income,Financial Services,https://images.financialmodelingprep.com/symbol/BLW.png,2003-07-29,True,14571232299.0,2211005.0,Blackrock Limited Duration Income Trust,NYSE,502183708.0,2901.5740787433115,659032.0826501976,121.0,25.0,146.0,1.0
2024-12-31,MITN,118662000.0,0.0,95721000.0,202689405.0,REIT - Mortgage,Real Estate,https://images.financialmodelingprep.com/symbol/MITN.png,2024-02-06,True,341555000.0,0.0,"AG Mortgage Investment Trust, Inc. 9.500% Senior Notes due 2029",NYSE,179748405.0,190.01837596277974,inf,1.0,164.0,165.0,2.0
2024-12-31,ACONW,453661.0,5499.0,0.0,20907.0,Medical - Healthcare Information Services,Healthcare,https://images.financialmodelingprep.com/symbol/ACONW.png,,True,-6457465.0,-329147.0,"Aclarion, Inc. - Warrant",NASDAQ,-432754.0,1492.1791595225,1995.2123912398654,229.0,41.0,270.0,3.0
2024-12-31,INBX,152596000.0,13538000.0,8048000.0,169512836.0,Biotechnology,Healthcare,https://images.financialmodelingprep.com/symbol/INBX.png,2024-06-04,True,1697819000.0,119668000.0,"Inhibrx Biosciences, Inc. - Common Stock",NASDAQ,24964836.0,6800.841792030999,1274.58147530892,272.0,8.0,280.0,4.0
2024-11-30,KYN,0.0,0.0,0.0,2107309960.0,Asset Management,Financial Services,https://images.financialmodelingprep.com/symbol/KYN.png,2004-09-28,True,978956999.0,0.0,"Kayne Anderson Energy Infrastructure Fund, Inc.",NYSE,2107309960.0,46.455292177331145,inf,1.0,306.0,307.0,5.0
2024-12-31,PRFX,4261000.0,97000.0,45000.0,3638050.0,Drug Manufacturers - Specialty & Generic,Healthcare,https://images.financialmodelingprep.com/symbol/PRFX.png,2020-09-01,True,-17826000.000000015,-1899000.0,PainReform Ltd. - Ordinary Shares,NASDAQ,-577950.0,3084.3498572540902,989.2341842397345,305.0,21.0,326.0,6.0
2024-12-31,YHC,5386789.0,0.0,0.0,2336226.0,Beverages - Alcoholic,Consumer Defensive,https://images.financialmodelingprep.com/symbol/YHC.png,2023-08-10,True,-22864257.0,-1645461.0,LQR House Inc. - Common Stock,NASDAQ,-3050563.0,749.5094184253858,1389.5350300007112,261.0,69.0,330.0,7.0
2024-10-31,CSQ,0.0,0.0,0.0,2692807260.0,Asset Management,Financial Services,https://images.financialmodelingprep.com/symbol/CSQ.png,2004-04-01,True,1150335606.0,0.0,Calamos Strategic Total Return Fund - Closed End Fund,NASDAQ,2692807260.0,42.718824443454594,inf,1.0,330.0,331.0,8.0
2024-12-31,ENO,0.0,0.0,2305381000.0,185550151.0,Regulated Electric,Utilities,https://images.financialmodelingprep.com/symbol/ENO.png,2016-03-24,True,2640368000.0,6446000.0,"Entergy New Orleans, LLC First Mortgage Bonds, 5.50% Series due April 1, 2066",NYSE,2490931151.0,105.99923642771128,40961.34036611853,145.0,210.0,355.0,9.0
2024-12-31,ENJ,0.0,0.0,2305381000.0,171501827.0,Regulated Electric,Utilities,https://images.financialmodelingprep.com/symbol/ENJ.png,2012-12-05,True,2523734000.0,6446000.0,"Entergy New Orleans, LLC First Mortgage Bonds, 5.0% Series due December 1, 2052",NYSE,2476882827.0,101.89153772190129,39151.93918709277,148.0,216.0,364.0,10.0
